id;name;type;documentation;landscape_element_id;project_id
1;online North;C4_PERSON;high-level seize pink;Plastic Facilitator Nevada;1
2;open-source;C4_PERSON;deploy Romania cross-platform;evolve killer;2
3;facilitate European Designer;C4_SYSTEM;Rubber info-mediaries Congolese;HTTP;3
4;eco-centric Cocos Mandatory;C4_VIEW;Savings;for Refined Montana;4
5;Bedfordshire Integrated;C4_PERSON;Fantastic;Usability Buckinghamshire Kron;5
6;Squares Technician Open-architected;C4_SYSTEM;Organized Branding contextually-based;CSS Rustic SMTP;6
7;Auto;C4_SYSTEM;alarm;plum Accounts harness;7
8;Robust deposit;C4_PERSON;Canada deposit Security;Security;8
9;quantifying;C4_SYSTEM;Guernsey;reinvent;9
10;Checking content-based e-markets;C4_SYSTEM;National bypassing;bluetooth Fish;10
