id;name;description;configuration;ext_project_id;active;src_url;content_store_url;landscape_id;team_id
1;contextually-based Alaska Fresh;Table Micronesia;Center;payment utilize Account;false;exploit technologies Soft;Sleek Assistant Bike;70ebd703-9;08a62f88-9845-4f9e-8242-47328a
2;Guadeloupe digital;Malagasy Alley Practical;solution;Supervisor index Diverse;true;Licensed Central payment;Keyboard Optional Carolina;3c7f6261-d;50886048-bf28-45a2-8128-687dfa
3;iterate Multi-lateral Specialist;Optional firewall ADP;Ringgit Up-sized Jewelery;Cotton;false;Concrete program ivory;port Computer;c3ec225a-2;f7afa351-c2e2-4c01-a5f3-103182
4;Central Mouse;services infomediaries Technician;synthesizing Gloves;Villages world-class;true;Borders task-force Cambridgeshire;impactful;a5ac4a3a-4;acebee67-fa4e-439d-94f5-907dd9
5;matrix;Metal matrix back-end;Cross-group compelling;Cote;false;Turnpike South;teal e-services;203f8dca-5;a188d910-a2b9-4194-80f5-806ffd
6;International networks;Architect Metal;mission-critical connect JBOD;exploit;false;mobile strategy;eco-centric;9b282554-c;7dfce140-9a17-4fb8-bdb9-7129ae
7;blue;convergence firewall Refined;Haiti Handmade;Pants Architect olive;false;Fords Afghanistan Philippines;programming Technician Organized;e7b9ac37-1;1499457a-787d-4dff-a470-47fad9
8;initiatives;functionalities Prairie SMTP;alarm;Ball;true;payment Palestinian;Ridge methodology;bb438ced-c;05432e0e-53de-4951-9a2e-fb4901
9;Kwacha Fantastic;Account Electronics;Customizable Plastic;compressing Market;true;Wooden purple;directional Granite;c27a8a42-5;3441358d-d5ee-4da8-b364-42b23e
10;East Car;engine Tasty Iranian;Music;pixel User-centric;true;groupware copying bus;vortals grow vortals;334aec26-1;321037ec-c7a1-41d9-a84b-24eecd
