id;name;documentation;technology;type;landscape_id
6586df18-17af-4cbb-843b-67edc7;Luxembourg overriding;multi-state;Hat;C4_PERSON;70ebd703-9
cdf80e7c-115b-4710-89f6-06953c;JSON orchid;Ecuador array Kip;Illinois Chile feed;C4_CONTAINER;3c7f6261-d
781f2a41-f2ac-46fc-ac6b-6244f7;Checking;Incredible;Chicken;C4_RELATIONSHIP;c3ec225a-2
42d9968e-39b8-4075-adb9-9a62eb;Units;Shirt;Forward;C4_RELATIONSHIP;a5ac4a3a-4
83438399-0dcb-4baa-834b-5827f0;white Auto Incredible;Stravenue heuristic;Helena Computer;C4_PERSON;203f8dca-5
7190ff79-5141-45be-8008-191499;Movies programming;actuating Sports;Harbors;C4_CONTAINER;9b282554-c
811150c9-67aa-4772-9257-2f6beb;Metal;Metal;District;C4_PERSON;e7b9ac37-1
84125cd1-5397-457a-8c9c-292988;input Idaho Fresh;New;alarm Polarised Tools;C4_SYSTEM;bb438ced-c
0c3b2d3b-f4d5-41e5-94fb-8c05c3;redundant Maryland Unbranded;software disintermediate collaboration;AGP Estonia;C4_SYSTEM;c27a8a42-5
92394174-6fb9-4f33-b57a-65c891;Direct;District;HDD protocol;C4_SYSTEM;334aec26-1
